code,name,description,refreshed_at,from_date,to_date
WIG_CEE,Warsaw Stock Exchange Indices: WIG-CEE,Index: WIG-CEE<br><br>ISIN: PL9999999433,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_CHEMIA,Warsaw Stock Exchange Indices: WIG-CHEMIA,Index: WIG-CHEMIA<br><br>ISIN: PL9999999847,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_DEWEL,Warsaw Stock Exchange Indices: WIG-DEWEL,Index: WIG-DEWEL<br><br>ISIN: PL9999999706,2017-11-03 19:47:32,2016-10-03,2016-12-30
WIGDIV,Warsaw Stock Exchange Indices: WIGDIV,Index: WIGDIV<br><br>ISIN: PL9999999482,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_ENERG,Warsaw Stock Exchange Indices: WIG-ENERG,Index: WIG-ENERG<br><br>ISIN: PL9999999516,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_ESG,Warsaw Stock Exchange Indices: WIG-ESG,Index: WIG-ESG<br><br>ISIN: PL9999998955,2020-04-24 20:01:33,2019-09-03,2020-04-24
WIG_GAMES,Warsaw Stock Exchange Indices: WIG.GAMES,Index: WIG.GAMES<br><br>ISIN: PL9999998971,2020-04-24 20:01:33,2019-03-08,2020-04-24
WIG_GORNIC,Warsaw Stock Exchange Indices: WIG-GORNIC,Index: WIG-GORNIC<br><br>ISIN: PL9999999466,2020-04-24 20:01:33,2017-01-02,2020-04-24
WIG_INFO,Warsaw Stock Exchange Indices: WIG-INFO,Index: WIG-INFO<br><br>ISIN: PL9999999771,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_LEKI,Warsaw Stock Exchange Indices: WIG-LEKI,Index: WIG-LEKI<br><br>ISIN: PL9999999250,2020-04-24 20:01:33,2017-01-02,2020-04-24
WIG_MEDIA,Warsaw Stock Exchange Indices: WIG-MEDIA,Index: WIG-MEDIA<br><br>ISIN: PL9999999755,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_MOTO,Warsaw Stock Exchange Indices: WIG-MOTO,Index: WIG-MOTO<br><br>ISIN: PL9999999243,2020-04-24 20:01:33,2017-01-02,2020-04-24
WIG_MS_BAS,Warsaw Stock Exchange Indices: WIG.MS-BAS,Index: WIG.MS-BAS<br><br>ISIN: PL9999998989,2020-04-24 20:01:33,2019-03-08,2020-04-24
WIG_MS_FIN,Warsaw Stock Exchange Indices: WIG.MS-FIN,Index: WIG.MS-FIN<br><br>ISIN: PL9999999003,2020-04-24 20:01:33,2019-03-08,2020-04-24
WIG_MS_PET,Warsaw Stock Exchange Indices: WIG.MS-PET,Index: WIG.MS-PET<br><br>ISIN: PL9999998997,2020-04-24 20:01:33,2019-03-08,2020-04-24
WIG_NRCHOM,Warsaw Stock Exchange Indices: WIG-NRCHOM,Index: WIG-NRCHOM<br><br>ISIN: PL9999999706,2020-04-24 20:01:33,2017-01-02,2020-04-24
WIG_ODZIEZ,Warsaw Stock Exchange Indices: WIG-ODZIEZ,Index: WIG-ODZIEZ<br><br>ISIN: PL9999999268,2020-04-24 20:01:33,2017-01-02,2020-04-24
WIG_PALIWA,Warsaw Stock Exchange Indices: WIG-PALIWA,Index: WIG-PALIWA<br><br>ISIN: PL9999999722,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_POLAND,Warsaw Stock Exchange Indices: WIG-POLAND,Index: WIG-POLAND<br><br>ISIN: PL9999999599,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_SPOZYW,Warsaw Stock Exchange Indices: WIG-SPOZYW,Index: WIG-SPOZYW<br><br>ISIN: PL9999999888,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_SUROWC,Warsaw Stock Exchange Indices: WIG-SUROWC,Index: WIG-SUROWC<br><br>ISIN: PL9999999466,2017-11-03 19:47:32,2016-10-03,2016-12-30
WIGTECH,Warsaw Stock Exchange Indices: WIGTECH,Index: WIGTECH<br><br>ISIN: PL9999998963,2020-04-24 20:01:33,2019-06-24,2020-04-24
WIG_TELKOM,Warsaw Stock Exchange Indices: WIG-TELKOM,Index: WIG-TELKOM<br><br>ISIN: PL9999999870,2020-04-24 20:01:33,2016-10-03,2020-04-24
WIG_UKRAIN,Warsaw Stock Exchange Indices: WIG-UKRAIN,Index: WIG-UKRAIN<br><br>ISIN: PL9999999458,2020-04-24 20:01:33,2016-10-03,2020-04-24
