code,name,description,refreshed_at,from_date,to_date
01NFI,"Stock Prices for 01NFI, ISIN PLNFI0100011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 01NFI<br><br>ISIN: PLNFI0100011<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2009-02-06
04PRO,"Stock Prices for 04PRO, ISIN PLNFI0400015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 04PRO<br><br>ISIN: PLNFI0400015<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2007-12-06
05VICT,"Stock Prices for 05VICT, ISIN PLNFI0500012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 05VICT<br><br>ISIN: PLNFI0500012<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2007-12-06
06MAGNA,"Stock Prices for 06MAGNA, ISIN PLNFI0600010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 06MAGNA<br><br>ISIN: PLNFI0600010<br><br>Currency: PLN,2020-04-24 18:30:34,1997-06-12,2020-04-24
08OCTAVA,"Stock Prices for 08OCTAVA, ISIN PLNFI0800016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 08OCTAVA<br><br>ISIN: PLNFI0800016<br><br>Currency: PLN,2020-04-24 18:30:34,1997-06-12,2020-04-24
10FOKSAL,"Stock Prices for 10FOKSAL, ISIN PLNFI1000012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 10FOKSAL<br><br>ISIN: PLNFI1000012<br><br>Currency: PLN,2016-09-12 18:37:06,2001-01-02,2007-12-06
11BIT,"Stock Prices for 11BIT, ISIN PL11BTS00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 11BIT<br><br>ISIN: PL11BTS00015<br><br>Currency: PLN,2020-04-24 18:30:34,2015-12-18,2020-04-24
11_NFI,"Stock Prices for 11 NFI, ISIN PLNFI1100010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 11 NFI<br><br>ISIN: PLNFI1100010<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2000-04-18
13FORTUNA,"Stock Prices for 13FORTUNA, ISIN PLNFI1300016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 13FORTUNA<br><br>ISIN: PLNFI1300016<br><br>Currency: PLN,2016-09-12 19:32:30,1997-06-12,2009-02-06
14ZACH,"Stock Prices for 14ZACH, ISIN PLNFI1400014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 14ZACH<br><br>ISIN: PLNFI1400014<br><br>Currency: PLN,2016-09-12 19:32:29,1997-06-12,2010-01-14
4FUNMEDIA,"Stock Prices for 4FUNMEDIA, ISIN PL4FNMD00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 4FUNMEDIA<br><br>ISIN: PL4FNMD00013<br><br>Currency: PLN,2020-04-24 18:30:34,2010-12-20,2020-04-24
4MEDIA,"Stock Prices for 4MEDIA, ISIN PLCHSKR00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: 4MEDIA<br><br>ISIN: PLCHSKR00012<br><br>Currency: PLN,2016-09-12 19:32:30,1996-06-19,2003-03-28
AATHOLD,"Stock Prices for AATHOLD, ISIN PLAATHL00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AATHOLD<br><br>ISIN: PLAATHL00018<br><br>Currency: PLN,2018-08-06 18:30:15,2015-10-05,2018-08-06
ABADONRE,"Stock Prices for ABADONRE, ISIN PLVARNT00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABADONRE<br><br>ISIN: PLVARNT00019<br><br>Currency: PLN,2019-03-25 18:30:16,2016-06-24,2019-03-25
ABCDATA,"Stock Prices for ABCDATA, ISIN PLABCDT00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABCDATA<br><br>ISIN: PLABCDT00014<br><br>Currency: PLN,2019-12-05 18:30:57,2010-07-09,2019-12-05
ABG,"Stock Prices for ABG, ISIN PLSTRPR00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABG<br><br>ISIN: PLSTRPR00014<br><br>Currency: PLN,2016-09-12 18:58:25,1999-12-02,2008-10-15
ABMSOLID,"Stock Prices for ABMSOLID, ISIN PLABMSD00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABMSOLID<br><br>ISIN: PLABMSD00015<br><br>Currency: PLN,2019-07-26 18:30:25,2007-08-28,2019-07-26
ABPL,"Stock Prices for ABPL, ISIN PLAB00000019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ABPL<br><br>ISIN: PLAB00000019<br><br>Currency: PLN,2020-04-24 18:30:34,2006-09-21,2020-04-24
ACAUTOGAZ,"Stock Prices for ACAUTOGAZ, ISIN PLACSA000014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACAUTOGAZ<br><br>ISIN: PLACSA000014<br><br>Currency: PLN,2020-04-24 18:30:34,2011-08-11,2020-04-24
ACE,"Stock Prices for ACE, ISIN LU0299378421, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACE<br><br>ISIN: LU0299378421<br><br>Currency: PLN,2016-09-12 16:29:09,2007-06-01,2016-02-09
ACTION,"Stock Prices for ACTION, ISIN PLACTIN00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ACTION<br><br>ISIN: PLACTIN00018<br><br>Currency: PLN,2020-04-24 18:30:34,2006-08-16,2020-04-24
ADIUVO,"Stock Prices for ADIUVO, ISIN PLADVIV00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADIUVO<br><br>ISIN: PLADVIV00015<br><br>Currency: PLN,2020-04-24 18:30:34,2015-10-12,2020-04-24
ADVADIS,"Stock Prices for ADVADIS, ISIN PLMBRST00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADVADIS<br><br>ISIN: PLMBRST00015<br><br>Currency: PLN,2016-09-12 19:15:52,1997-11-17,2015-11-13
ADVGRUPA,"Stock Prices for ADVGRUPA, ISIN PLADVPL00029, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ADVGRUPA<br><br>ISIN: PLADVPL00029<br><br>Currency: PLN,2016-09-12 15:02:15,2011-04-13,2013-03-05
AGORA,"Stock Prices for AGORA, ISIN PLAGORA00067, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGORA<br><br>ISIN: PLAGORA00067<br><br>Currency: PLN,2020-04-24 18:30:34,1999-04-19,2020-04-24
AGROS,"Stock Prices for AGROS, ISIN PLAGROS00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROS<br><br>ISIN: PLAGROS00010<br><br>Currency: PLN,2016-09-12 19:49:00,1994-10-25,2003-09-03
AGROTON,"Stock Prices for AGROTON, ISIN CY0101062111, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROTON<br><br>ISIN: CY0101062111<br><br>Currency: PLN,2020-04-24 18:30:34,2010-11-08,2020-04-24
AGROWILL,"Stock Prices for AGROWILL, ISIN LT0000127466, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AGROWILL<br><br>ISIN: LT0000127466<br><br>Currency: PLN,2017-11-02 18:30:27,2011-07-08,2017-11-02
AILLERON,"Stock Prices for AILLERON, ISIN PLWNDMB00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AILLERON<br><br>ISIN: PLWNDMB00010<br><br>Currency: PLN,2020-04-24 18:30:34,2015-11-06,2020-04-24
AIRWAY,"Stock Prices for AIRWAY, ISIN PLAIRWY00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AIRWAY<br><br>ISIN: PLAIRWY00017<br><br>Currency: PLN,2020-04-24 18:30:34,2016-05-24,2020-04-24
ALCHEMIA,"Stock Prices for ALCHEMIA, ISIN PLGRBRN00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALCHEMIA<br><br>ISIN: PLGRBRN00012<br><br>Currency: PLN,2019-11-12 18:30:48,1998-05-19,2019-11-12
ALIOR,"Stock Prices for ALIOR, ISIN PLALIOR00045, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALIOR<br><br>ISIN: PLALIOR00045<br><br>Currency: PLN,2020-04-24 18:30:34,2012-12-14,2020-04-24
ALMA,"Stock Prices for ALMA, ISIN PLKRCHM00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALMA<br><br>ISIN: PLKRCHM00015<br><br>Currency: PLN,2018-06-01 18:30:17,1994-07-28,2018-06-01
ALTA,"Stock Prices for ALTA, ISIN PLTRNSU00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALTA<br><br>ISIN: PLTRNSU00013<br><br>Currency: PLN,2020-04-24 18:30:34,2013-10-18,2020-04-24
ALTERCO,"Stock Prices for ALTERCO, ISIN PLSRBEX00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALTERCO<br><br>ISIN: PLSRBEX00014<br><br>Currency: PLN,2016-09-12 16:29:10,2007-12-07,2016-05-23
ALTUSTFI,"Stock Prices for ALTUSTFI, ISIN PLATTFI00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALTUSTFI<br><br>ISIN: PLATTFI00018<br><br>Currency: PLN,2020-04-24 18:30:34,2014-08-20,2020-04-24
ALUMETAL,"Stock Prices for ALUMETAL, ISIN PLALMTL00023, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ALUMETAL<br><br>ISIN: PLALMTL00023<br><br>Currency: PLN,2020-04-24 18:30:34,2014-07-17,2020-04-24
AMBRA,"Stock Prices for AMBRA, ISIN PLAMBRA00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AMBRA<br><br>ISIN: PLAMBRA00013<br><br>Currency: PLN,2020-04-24 18:30:34,2005-07-29,2020-04-24
AMICA,"Stock Prices for AMICA, ISIN PLAMICA00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AMICA<br><br>ISIN: PLAMICA00010<br><br>Currency: PLN,2020-04-24 18:30:34,1997-09-08,2020-04-24
AMPLI,"Stock Prices for AMPLI, ISIN PLAMPLI00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AMPLI<br><br>ISIN: PLAMPLI00019<br><br>Currency: PLN,2020-04-24 18:30:34,1997-10-14,2020-04-24
AMREST,"Stock Prices for AMREST, ISIN ES0105375002, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AMREST<br><br>ISIN: ES0105375002<br><br>Currency: PLN,2020-04-24 18:30:34,2005-04-27,2020-04-24
AMS,"Stock Prices for AMS, ISIN PLAMS0000031, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AMS<br><br>ISIN: PLAMS0000031<br><br>Currency: PLN,2016-09-12 19:15:52,1998-04-23,2003-01-15
ANIMEX,"Stock Prices for ANIMEX, ISIN PLANIMX00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ANIMEX<br><br>ISIN: PLANIMX00019<br><br>Currency: PLN,2016-09-12 19:48:59,1995-11-16,2002-05-15
ANTI,"Stock Prices for ANTI, ISIN PLANTI000012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ANTI<br><br>ISIN: PLANTI000012<br><br>Currency: PLN,2016-09-12 16:29:09,2009-04-03,2012-09-24
APATOR,"Stock Prices for APATOR, ISIN PLAPATR00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: APATOR<br><br>ISIN: PLAPATR00018<br><br>Currency: PLN,2020-04-24 18:30:34,1997-04-24,2020-04-24
APEXIM,"Stock Prices for APEXIM, ISIN PLAPEXM00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: APEXIM<br><br>ISIN: PLAPEXM00013<br><br>Currency: PLN,2016-09-12 19:15:52,1998-04-16,2003-03-19
APLISENS,"Stock Prices for APLISENS, ISIN PLAPLS000016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: APLISENS<br><br>ISIN: PLAPLS000016<br><br>Currency: PLN,2020-04-24 18:30:34,2009-06-24,2020-04-24
APLITT,"Stock Prices for APLITT, ISIN PLTFSKK00015, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: APLITT<br><br>ISIN: PLTFSKK00015<br><br>Currency: PLN,2017-06-23 19:01:32,2016-01-08,2017-06-19
APSENERGY,"Stock Prices for APSENERGY, ISIN PLAPSEN00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: APSENERGY<br><br>ISIN: PLAPSEN00011<br><br>Currency: PLN,2020-04-24 18:30:34,2015-10-08,2020-04-24
ARCHICOM,"Stock Prices for ARCHICOM, ISIN PLARHCM00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARCHICOM<br><br>ISIN: PLARHCM00016<br><br>Currency: PLN,2020-04-24 18:30:34,2016-05-09,2020-04-24
ARCTIC,"Stock Prices for ARCTIC, ISIN PLARTPR00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARCTIC<br><br>ISIN: PLARTPR00012<br><br>Currency: PLN,2020-04-24 18:30:34,2009-10-23,2020-04-24
ARCUS,"Stock Prices for ARCUS, ISIN PLARCUS00040, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARCUS<br><br>ISIN: PLARCUS00040<br><br>Currency: PLN,2020-04-09 18:30:44,2008-06-19,2020-04-09
ARMATURA,"Stock Prices for ARMATURA, ISIN PLKFARM00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARMATURA<br><br>ISIN: PLKFARM00013<br><br>Currency: PLN,2016-09-12 16:29:10,2007-08-17,2014-03-07
ARTERIA,"Stock Prices for ARTERIA, ISIN PLARTER00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARTERIA<br><br>ISIN: PLARTER00016<br><br>Currency: PLN,2020-04-24 18:30:34,2007-01-12,2020-04-24
ARTIFEX,"Stock Prices for ARTIFEX, ISIN PLARTFX00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARTIFEX<br><br>ISIN: PLARTFX00011<br><br>Currency: PLN,2020-04-24 18:30:34,2016-11-17,2020-04-24
ARTMAN,"Stock Prices for ARTMAN, ISIN PLARTMN00034, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ARTMAN<br><br>ISIN: PLARTMN00034<br><br>Currency: PLN,2016-09-12 17:17:02,2004-07-01,2009-07-01
ASBIS,"Stock Prices for ASBIS, ISIN CY1000031710, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASBIS<br><br>ISIN: CY1000031710<br><br>Currency: PLN,2020-04-24 18:30:34,2007-10-30,2020-04-24
ASMGROUP,"Stock Prices for ASMGROUP, ISIN PLASMGR00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASMGROUP<br><br>ISIN: PLASMGR00014<br><br>Currency: PLN,2020-04-24 18:30:34,2016-09-14,2020-04-24
ASSECOBS,"Stock Prices for ASSECOBS, ISIN PLABS0000018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASSECOBS<br><br>ISIN: PLABS0000018<br><br>Currency: PLN,2020-04-24 18:30:34,2007-11-19,2020-04-24
ASSECOPOL,"Stock Prices for ASSECOPOL, ISIN PLSOFTB00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASSECOPOL<br><br>ISIN: PLSOFTB00016<br><br>Currency: PLN,2020-04-24 18:30:34,1998-06-02,2020-04-24
ASSECOSEE,"Stock Prices for ASSECOSEE, ISIN PLASSEE00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASSECOSEE<br><br>ISIN: PLASSEE00014<br><br>Currency: PLN,2020-04-24 18:30:34,2009-10-28,2020-04-24
ASSECOSLO,"Stock Prices for ASSECOSLO, ISIN SK1120009230, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASSECOSLO<br><br>ISIN: SK1120009230<br><br>Currency: PLN,2017-05-03 19:01:30,2006-10-10,2017-04-28
ASTARTA,"Stock Prices for ASTARTA, ISIN NL0000686509, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ASTARTA<br><br>ISIN: NL0000686509<br><br>Currency: PLN,2020-04-24 18:30:34,2006-08-17,2020-04-24
ATAL,"Stock Prices for ATAL, ISIN PLATAL000046, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATAL<br><br>ISIN: PLATAL000046<br><br>Currency: PLN,2020-04-24 18:30:34,2015-07-23,2020-04-24
ATENDE,"Stock Prices for ATENDE, ISIN PLATMSI00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATENDE<br><br>ISIN: PLATMSI00016<br><br>Currency: PLN,2020-04-24 18:30:34,2013-04-22,2020-04-24
ATLANTAPL,"Stock Prices for ATLANTAPL, ISIN PLATLPL00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATLANTAPL<br><br>ISIN: PLATLPL00018<br><br>Currency: PLN,2020-04-24 18:30:34,2005-01-10,2020-04-24
ATLANTIS,"Stock Prices for ATLANTIS, ISIN EE3100143090, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATLANTIS<br><br>ISIN: EE3100143090<br><br>Currency: PLN,2020-04-24 18:30:34,1997-06-04,2020-04-24
ATLASEST,"Stock Prices for ATLASEST, ISIN GB00B0WDBP88, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATLASEST<br><br>ISIN: GB00B0WDBP88<br><br>Currency: PLN,2020-04-24 18:30:34,2008-02-12,2020-04-24
ATM,"Stock Prices for ATM, ISIN PLATMSA00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATM<br><br>ISIN: PLATMSA00013<br><br>Currency: PLN,2020-04-24 18:30:34,2004-09-28,2020-04-24
ATMGRUPA,"Stock Prices for ATMGRUPA, ISIN PLATM0000021, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATMGRUPA<br><br>ISIN: PLATM0000021<br><br>Currency: PLN,2020-04-24 18:30:34,2004-02-05,2020-04-24
ATMSI,"Stock Prices for ATMSI, ISIN PLATMSI00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATMSI<br><br>ISIN: PLATMSI00016<br><br>Currency: PLN,2016-09-12 14:44:39,2012-05-28,2013-04-19
ATREM,"Stock Prices for ATREM, ISIN PLATREM00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: ATREM<br><br>ISIN: PLATREM00017<br><br>Currency: PLN,2020-04-24 18:30:34,2009-01-07,2020-04-24
AUGA,"Stock Prices for AUGA, ISIN LT0000127466, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AUGA<br><br>ISIN: LT0000127466<br><br>Currency: PLN,2020-04-24 18:30:34,2017-11-03,2020-04-24
AURUM,"Stock Prices for AURUM, ISIN PLIDATF00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AURUM<br><br>ISIN: PLIDATF00012<br><br>Currency: PLN,2016-09-07 19:07:43,2015-01-28,2016-03-16
AUTOPARTN,"Stock Prices for AUTOPARTN, ISIN PLATPRT00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AUTOPARTN<br><br>ISIN: PLATPRT00018<br><br>Currency: PLN,2020-04-24 18:30:34,2016-06-06,2020-04-24
AVIAAML,"Stock Prices for AVIAAML, ISIN LT0000128555, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AVIAAML<br><br>ISIN: LT0000128555<br><br>Currency: PLN,2018-07-12 18:30:20,2013-06-28,2018-07-12
AVIASG,"Stock Prices for AVIASG, ISIN LT0000128381, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AVIASG<br><br>ISIN: LT0000128381<br><br>Currency: PLN,2018-11-19 18:30:25,2011-03-03,2018-11-19
AWBUD,"Stock Prices for AWBUD, ISIN PLINSTL00011, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AWBUD<br><br>ISIN: PLINSTL00011<br><br>Currency: PLN,2020-04-24 18:30:34,2011-03-04,2020-04-24
AZOTYTARNOW,"Stock Prices for AZOTYTARNOW, ISIN PLZATRM00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: AZOTYTARNOW<br><br>ISIN: PLZATRM00012<br><br>Currency: PLN,2016-09-12 16:29:10,2008-06-30,2013-09-05
B3SYSTEM,"Stock Prices for B3SYSTEM, ISIN PLBSSTM00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: B3SYSTEM<br><br>ISIN: PLBSSTM00013<br><br>Currency: PLN,2018-03-21 18:30:39,2007-02-01,2018-03-21
BACA,"Stock Prices for BACA, ISIN AT0000995006, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BACA<br><br>ISIN: AT0000995006<br><br>Currency: PLN,2016-09-12 17:55:17,2003-10-14,2008-05-29
BACD,"Stock Prices for BACD, ISIN PLIDATF00012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BACD<br><br>ISIN: PLIDATF00012<br><br>Currency: PLN,2017-08-21 18:30:26,2016-03-17,2017-08-21
BAHOLDING,"Stock Prices for BAHOLDING, ISIN PLMRVPL00016, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BAHOLDING<br><br>ISIN: PLMRVPL00016<br><br>Currency: PLN,2020-04-24 18:30:34,2017-12-12,2020-04-24
BAKALLAND,"Stock Prices for BAKALLAND, ISIN PLBKLND00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BAKALLAND<br><br>ISIN: PLBKLND00017<br><br>Currency: PLN,2016-09-12 16:58:55,2006-12-11,2015-02-09
BAKOMA,"Stock Prices for BAKOMA, ISIN PLBKOMA00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BAKOMA<br><br>ISIN: PLBKOMA00019<br><br>Currency: PLN,2016-09-12 19:15:52,1998-02-26,2001-06-04
BALTONA,"Stock Prices for BALTONA, ISIN PLBALTN00014, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BALTONA<br><br>ISIN: PLBALTN00014<br><br>Currency: PLN,2020-04-24 18:30:34,2013-01-15,2020-04-24
BANKBPH,"Stock Prices for BANKBPH, ISIN PLBPH0000019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BANKBPH<br><br>ISIN: PLBPH0000019<br><br>Currency: PLN,2016-12-23 19:01:29,1995-02-07,2016-12-19
BANKIER_PL,"Stock Prices for BANKIER.PL, ISIN PLBANKR00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BANKIER.PL<br><br>ISIN: PLBANKR00010<br><br>Currency: PLN,2016-09-12 16:58:55,2006-06-19,2010-05-24
BARLINEK,"Stock Prices for BARLINEK, ISIN PLBRLNK00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BARLINEK<br><br>ISIN: PLBRLNK00017<br><br>Currency: PLN,2016-09-12 17:17:02,2005-09-22,2014-03-20
BBICAPNFI,"Stock Prices for BBICAPNFI, ISIN PLNFI0700018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BBICAPNFI<br><br>ISIN: PLNFI0700018<br><br>Currency: PLN,2016-09-12 19:32:30,1997-06-12,2013-02-21
BBIDEV,"Stock Prices for BBIDEV, ISIN PLNFI1200018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BBIDEV<br><br>ISIN: PLNFI1200018<br><br>Currency: PLN,2020-04-24 18:30:34,2013-08-13,2020-04-24
BBIDEVNFI,"Stock Prices for BBIDEVNFI, ISIN PLNFI1200018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BBIDEVNFI<br><br>ISIN: PLNFI1200018<br><br>Currency: PLN,2016-09-12 19:32:30,1997-06-12,2013-08-12
BBIZEN,"Stock Prices for BBIZEN, ISIN PLNFI1000012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BBIZEN<br><br>ISIN: PLNFI1000012<br><br>Currency: PLN,2016-09-12 14:18:58,2013-05-06,2013-11-04
BBIZENNFI,"Stock Prices for BBIZENNFI, ISIN PLNFI1000012, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BBIZENNFI<br><br>ISIN: PLNFI1000012<br><br>Currency: PLN,2016-09-12 19:32:30,1997-06-12,2013-05-02
BCHEM,"Stock Prices for BCHEM, ISIN HU0000072640, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BCHEM<br><br>ISIN: HU0000072640<br><br>Currency: PLN,2016-09-12 17:17:02,2004-10-08,2007-03-29
BCZ,"Stock Prices for BCZ, ISIN PLBNKCZ00019, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BCZ<br><br>ISIN: PLBNKCZ00019<br><br>Currency: PLN,2016-09-12 19:15:52,1998-10-06,2003-05-21
BEDZIN,"Stock Prices for BEDZIN, ISIN PLECBDZ00013, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BEDZIN<br><br>ISIN: PLECBDZ00013<br><br>Currency: PLN,2020-04-24 18:30:34,1998-12-08,2020-04-24
BEEFSAN,"Stock Prices for BEEFSAN, ISIN PLBEFSN00010, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BEEFSAN<br><br>ISIN: PLBEFSN00010<br><br>Currency: PLN,2016-09-12 18:58:25,2000-03-09,2011-01-14
BELCHATOW,"Stock Prices for BELCHATOW, ISIN PLSTLBW00017, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BELCHATOW<br><br>ISIN: PLSTLBW00017<br><br>Currency: PLN,2016-09-12 19:15:52,1998-05-12,2002-11-26
BENEFIT,"Stock Prices for BENEFIT, ISIN PLBNFTS00018, Currency PLN",Stock prices from Warsaw Stock Exchange (GPW)<br><br>Symbol: BENEFIT<br><br>ISIN: PLBNFTS00018<br><br>Currency: PLN,2020-04-24 18:30:34,2011-04-21,2020-04-24
